ext_gene,flybase_gene_id,history_direction,rebound_direction,source_file,identity_status,identity_resolution_basis,History_pos_Category,History_pos_Confidence,History_pos_Rationale,History_pos_Supporting_Refs,History_pos_Papers_w_full_text,History_pos_Queried_PMCIDs,Rebound_neg_Category,Rebound_neg_Confidence,Rebound_neg_Rationale,Rebound_neg_Supporting_Refs,Rebound_neg_Papers_w_full_text,Rebound_neg_Queried_PMCIDs,History_neg_Category,History_neg_Confidence,History_neg_Rationale,History_neg_Supporting_Refs,History_neg_Papers_w_full_text,History_neg_Queried_PMCIDs,Rebound_pos_Category,Rebound_pos_Confidence,Rebound_pos_Rationale,Rebound_pos_Supporting_Refs,Rebound_pos_Papers_w_full_text,Rebound_pos_Queried_PMCIDs
Obp44a,FBgn0033268,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,circadian,60,"Obp44a expression is decreased at ZT1 (beginning of day) under HO knockdown, indicating time-of-day/HO-dependent regulation consistent with circadian involvement; no sleep-related evidence reported.",PMC9891730;PMC6357063,PMC9891730;PMC6357063,PMC9891730;PMC6357063,None,30,"Text shows female-biased expression in mushroom body KCs and a single report of downregulation at ZT1, but no direct evidence linking Obp44a to sleep or robust circadian regulation.",PMC9891730;PMC6357063,PMC9891730;PMC6357063,PMC9891730;PMC6357063,,,,,,,,,,,,
Sk1,FBgn0030300,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,circadian,40,"Sk1 is differentially expressed in hoRNAi retinas at ZT16 (night), indicating time-of-day (ZT)–dependent regulation; no direct link to sleep or molecular function is provided, so confidence is low.",PMC6357063,PMC6357063;PMC10330732;PMC12626334;PMC8724990,PMC6357063;PMC10330732;PMC12626334;PMC8724990,sleep,60,"Sk1 is linked to sleep-deprivation–related neuroinflammation via the SphK1 pathway in astrocytes. Although its retinal expression changes with time of day (ZT1 vs ZT16), no direct circadian function is reported in the provided text.",PMC6357063;PMC10330732,PMC6357063;PMC10330732;PMC12626334;PMC8724990,PMC6357063;PMC10330732;PMC12626334;PMC8724990,,,,,,,,,,,,
Ssk,FBgn0036945,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,circadian,90,"Listed as cycling in the fly body with significant rhythmicity (p < 0.01; phase ~17.97), consistent with circadian regulation; no sleep phenotype reported.",PMC6758054,PMC6758054;PMC11227937,PMC6758054;PMC11227937,circadian,80,"CT21613 (Ssk) is reported to cycle in the fly body (p = 8.81E-03; phase 17.97), indicating circadian regulation. No sleep-related phenotypes or evidence were reported.",PMC6758054,PMC6758054;PMC11227937,PMC6758054;PMC11227937,,,,,,,,,,,,
Trhn,FBgn0035187,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,publication_resolved,RosensweigShah_2026_results_discussion_figure14,sleep,90,Multiple studies show Trh/TRH loss reduces brain 5-HT and causes decreased sleep and impaired sleep rebound; TRH-Gal4–driven manipulations and rescue experiments modulate daytime/nighttime sleep.,PMC10620068;PMC10761942;PMC11068357;PMC9721485;PMC5648528;PMC4682101,PMC12273795;PMC10620068;PMC10761942;PMC11053319;PMC11068357;PMC10259475;PMC10651484;PMC9721485;PMC8072781;PMC5648528;PMC4682101;PMC28377,PMC12273795;PMC10620068;PMC10761942;PMC11053319;PMC11068357;PMC10259475;PMC10651484;PMC9721485;PMC8072781;PMC5648528;PMC4682101;PMC28377,sleep,80,"Multiple entries report Trh (tryptophan hydroxylase) mutants have altered sleep (reduced total sleep, shorter bouts, delayed onset, impaired rebound) and Trh-derived serotonin signals regulate sleep/homeostasis; no circadian roles are reported.",PMC12273795;PMC10761942;PMC11068357;PMC5648528;PMC4682101;PMC28377,PMC12273795;PMC10761942;PMC11068357;PMC10651484;PMC8072781;PMC6415939;PMC5648528;PMC4682101;PMC28377,PMC12273795;PMC10761942;PMC11068357;PMC10651484;PMC8072781;PMC6415939;PMC5648528;PMC4682101;PMC28377,,,,,,,,,,,,
VGlut2,FBgn0038799,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,sleep; circadian,90,"VGlut2+ neurons are manipulated in sleep experiments (stellate and MCH neurons; VGlut2 knockout in MCH alters sleep-related functions), and VGlut2 in ipRGCs is required for glutamatergic signaling that entrains circadian rhythms in dim light.",PMC12005719;PMC10584931;PMC10667013;PMC11481193;PMC12296005;PMC12346783,PMC12005719;PMC4900636;PMC10584931;PMC10667013;PMC11481193;PMC11557417;PMC12296005;PMC12346783,PMC12005719;PMC4900636;PMC10584931;PMC10667013;PMC11481193;PMC11557417;PMC12296005;PMC12346783,sleep; circadian,80,VGlut2 is required for ipRGC-mediated light entrainment and is reduced in the SCN in a PD model (strong circadian evidence). Manipulation during sleep deprivation and expression in MCH neurons implicate roles in sleep regulation (supporting sleep involvement).,PMC10584931;PMC10667013;PMC11481193;PMC11557417;PMC12296005;PMC12346783,PMC12005719;PMC4900636;PMC10584931;PMC10667013;PMC11481193;PMC11557417;PMC12296005;PMC12346783,PMC12005719;PMC4900636;PMC10584931;PMC10667013;PMC11481193;PMC11557417;PMC12296005;PMC12346783,,,,,,,,,,,,
CG42323,FBgn0259223,negative,positive,History(neg)_x_Rebound(pos)_overlap_n=5genes.csv,source,,,,,,,,,,,,,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,
CG7079,FBgn0038849,negative,positive,History(neg)_x_Rebound(pos)_overlap_n=5genes.csv,source,,,,,,,,,,,,,,circadian,90,"CG7079 is described repeatedly as rhythmically expressed (cycling) in the fat body and as a cycling astrocyte gene, and its expression is altered in Tim-MJD flies that display arrhythmicity, linking it to circadian regulation.",PMC8483315;PMC3152999;PMC1557390,PMC8483315;PMC3152999;PMC1557390;PMC187483,PMC8483315;PMC3152999;PMC1557390;PMC187483,circadian,85,"CG7079 transcripts are rhythmically expressed in the fat body with a late-night peak and are altered in circadian-disrupted (Tim-MJD) brains, indicating involvement with circadian regulation. No sleep-specific phenotypes are reported.",PMC8483315;PMC3152999;PMC1557390;PMC187483,PMC8483315;PMC3152999;PMC1557390;PMC187483,PMC8483315;PMC3152999;PMC1557390;PMC187483
CG9313,FBgn0034566,negative,positive,History(neg)_x_Rebound(pos)_overlap_n=5genes.csv,source,,,,,,,,,,,,,,None,90,Only reported as transcriptionally up-regulated in PDF+ neurons after dTrpA1 stimulation; no organismal phenotypes or functional data provided to link it to sleep or circadian processes.,PMC5148613,PMC5148613,PMC5148613,None,90,The provided text only notes firing-induced up-regulation in PDF+ neurons and gives no evidence linking CG9313 to sleep or circadian functions.,PMC5148613,PMC5148613,PMC5148613
CG9377,FBgn0032507,negative,positive,History(neg)_x_Rebound(pos)_overlap_n=5genes.csv,source,,,,,,,,,,,,,,sleep,30,"Listed in the study as a THIP sleep target gene, indicating a sleep-related association; however, no explicit function or CG9377-specific sleep phenotypes are reported, so evidence is limited.",PMC10619980,PMC11728359;PMC10619980,PMC11728359;PMC10619980,sleep,80,Listed explicitly as a THIP sleep target gene and included in RT-qPCR validation comparing THIP-induced sleep with control; no circadian evidence reported.,PMC10619980,PMC11728359;PMC10619980,PMC11728359;PMC10619980
Gtpbp1,FBgn0027836,negative,positive,History(neg)_x_Rebound(pos)_overlap_n=5genes.csv,source,,,,,,,,,,,,,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,
